status,size,reason,file
C,4561,content,E:\football_v\00_System_OS\01_DATA_LAYER\reports\database_inspection_report.json
C,540,content,E:\football_v\00_System_OS\01_DATA_LAYER\reports\database_migration_report.json
B,936,content|database|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\create_data_layer.py
C,1247,content|database,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_alert_final_upgrade.py
C,1437,content|database,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_init.py
B,1425,content|database|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_market_init.py
C,1445,content|database,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_quality_alert_upgrade.py
C,2522,content|database,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_quality_init.py
B,2438,content|history|database,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_task_reliability_init.py
C,1543,content|database,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_task_table_upgrade.py
C,3095,content|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\quality_rule_init.py
C,1666,content|history,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_init.py
B,1557,content|database|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_manager.py
C,2813,content|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\retry_policy_init.py
C,863,content,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\task_queue_init.py
D,14,,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test.csv
B,1807,content|engine|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_quality_engine.py
C,1666,content|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py
C,1228,content,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_retry_logger.py
C,2330,content|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_scheduler.py
B,1185,content|history|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_scheduler_reliability.py
C,1263,content|history,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_history.py
B,1037,content|history|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_manager_reliability.py
C,1025,content|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_queue.py
B,1904,content|history|engine|odds,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_reliability_full.py
C,530,content,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\manual_task.py
B,4126,content|history|engine,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\retry_engine.py
C,2110,content,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\retry_logger.py
B,3532,content|history|engine,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\scheduler.py
C,2073,content|history,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_history.py
C,3167,content|history,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_manager.py
C,816,content,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_query.py
C,154,content,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_status.py
D,88,,E:\football_v\00_System_OS\01_DATA_LAYER\test_data\test_odds.csv
C,15728640,content,E:\football_v\00_System_OS\02_FEATURE_LAYER\database\feature_store.db
C,53248,content,E:\football_v\00_System_OS\03_MODEL_LAYER\database\model_store.db
A,867,content|model|feature|engine|database,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\architecture_classifier_V1.0.py
C,463,content,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\architecture_scanner_V1.0.py
D,73,,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\config\architecture_rules.json
A,744,content|model|feature|engine|database,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.0.py
A,828,content|model|feature|engine|database,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\registry_manager\registry_manager_V1.1.py
C,832,content,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\reports\architecture_cleanup_test_report.json
C,825,content,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\tests\test_architecture_cleanup_V1.0.py
C,1150,content,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\tests\test_architecture_cleanup_V1.1.py
C,360,content,E:\football_v\00_System_OS\Automation\logs\scheduler_log.json
C,1570,content,E:\football_v\00_System_OS\Automation\logs\workflow_run_log.json
C,348,content,E:\football_v\00_System_OS\Automation\scheduler\scheduler_config.json
C,1749,content,E:\football_v\00_System_OS\Automation\scheduler\scheduler_manager.py
C,263,content,E:\football_v\00_System_OS\Automation\task_manager\task_history.json
C,1954,content|history,E:\football_v\00_System_OS\Automation\task_manager\task_manager.py
C,415,content,E:\football_v\00_System_OS\Automation\task_manager\task_registry.json
C,1367,content,E:\football_v\00_System_OS\Automation\workflow\workflow.json
C,4248,content|engine,E:\football_v\00_System_OS\Automation\workflow\workflow_runner.py
C,2872,content,E:\football_v\00_System_OS\Bootstrap\bootstrap.py
C,201,content,E:\football_v\00_System_OS\Bootstrap\bootstrap_config.json
C,551,content,E:\football_v\00_System_OS\Bootstrap\bootstrap_log.json
C,1773,content,E:\football_v\00_System_OS\Bootstrap\config_generator.py
C,760,content,E:\football_v\00_System_OS\Bootstrap\deployment_report.json
C,1709,content,E:\football_v\00_System_OS\Bootstrap\deploy_system.py
C,1459,content,E:\football_v\00_System_OS\Bootstrap\setup_system.py
C,2300,content,E:\football_v\00_System_OS\Bootstrap\system_check.py
C,421,content,E:\football_v\00_System_OS\Bootstrap\system_check_log.json
D,93,,E:\football_v\00_System_OS\Bootstrap\config\automation.yaml
C,176,content,E:\football_v\00_System_OS\Bootstrap\config\config_generation.json
D,65,,E:\football_v\00_System_OS\Bootstrap\config\monitor.yaml
D,63,,E:\football_v\00_System_OS\Bootstrap\config\recovery.yaml
D,65,,E:\football_v\00_System_OS\Bootstrap\config\system.yaml
C,20480,content,E:\football_v\00_System_OS\database\football_ai_os.db
C,161,content,E:\football_v\00_System_OS\deployment_controller\alpha_integration_sprint_report.json
C,1654,content,E:\football_v\00_System_OS\deployment_controller\alpha_product_deployment_report.json
B,3729,content|model|engine|database,E:\football_v\00_System_OS\deployment_controller\deploy_alpha_integration_sprint_V1.0.py
A,2770,content|model|predict|engine|database,E:\football_v\00_System_OS\deployment_controller\deploy_alpha_product_sprint_V1.0.py
B,832,content|model|database,E:\football_v\00_System_OS\DEPLOYMENT_QUALITY_CHECKER\deployment_quality_checker_V1.0.py
C,271,content,E:\football_v\00_System_OS\DEPLOYMENT_QUALITY_CHECKER\reports\quality_report.json
C,243,content,E:\football_v\00_System_OS\ENVIRONMENT_CHECKER\environment_checker_V1.0.py
C,1097,content,E:\football_v\00_System_OS\File_Manager\archive\archive_index.json
C,2517,content,E:\football_v\00_System_OS\File_Manager\archive\archive_manager.py
C,2101,content|history,E:\football_v\00_System_OS\File_Manager\archive\archive_manager_v11.py
C,2747,content,E:\football_v\00_System_OS\File_Manager\archive\archive_report.json
C,167,content,E:\football_v\00_System_OS\File_Manager\archive\archive_rules.json
C,1886,content,E:\football_v\00_System_OS\File_Manager\archive\storage\20260718_170551\duplicate_report.csv
C,3306,content,E:\football_v\00_System_OS\File_Manager\archive\storage\20260718_170551\file_inventory.csv
C,2175,content,E:\football_v\00_System_OS\File_Manager\archive\storage\20260718_170551\lifecycle_report.csv
D,0,,E:\football_v\00_System_OS\File_Manager\config\file_manager.yaml
C,2735,content,E:\football_v\00_System_OS\File_Manager\duplicate\duplicate_detector_v11.py
C,15126,content,E:\football_v\00_System_OS\File_Manager\duplicate\duplicate_report_v11.json
C,2007,content,E:\football_v\00_System_OS\File_Manager\hash\duplicate_detector.py
B,2123,content|history|engine,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_engine.py
C,2355,content,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_history.json
C,2129,content,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_manager.py
C,1113,content,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_rules.json
C,2100,content,E:\football_v\00_System_OS\File_Manager\registry\asset_schema.json
C,6802,content,E:\football_v\00_System_OS\File_Manager\registry\file_registry.json
C,9122,content,E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.json
C,2431,content,E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.py
C,1886,content,E:\football_v\00_System_OS\File_Manager\reports\duplicate_report.csv
C,3306,content,E:\football_v\00_System_OS\File_Manager\reports\file_inventory.csv
C,2175,content,E:\football_v\00_System_OS\File_Manager\reports\lifecycle_report.csv
D,0,,E:\football_v\00_System_OS\File_Manager\runtime\file_manager_state.json
C,4062,content|model,E:\football_v\00_System_OS\File_Manager\scanner\file_scanner.py
C,2213,content,E:\football_v\00_System_OS\File_Manager\source\source_schema.json
C,2276,content,E:\football_v\00_System_OS\File_Manager\version\version_manager.py
C,6135,content,E:\football_v\00_System_OS\File_Manager\version\version_registry.json
C,934,content,E:\football_v\00_System_OS\File_Manager\version\version_schema.json
C,265,content,E:\football_v\00_System_OS\FINAL_RELEASE_GATE\final_release_gate_V1.0.py
A,2270,content|model|predict|engine|database,E:\football_v\00_System_OS\integration_test\deploy_alpha_integration_test_V1.0.py
B,195,content|model|predict,E:\football_v\00_System_OS\integration_test\test_api_pipeline.py
B,198,content|model|predict,E:\football_v\00_System_OS\integration_test\test_dashboard.py
B,359,content|model|engine|database,E:\football_v\00_System_OS\integration_test\test_database_connection.py
C,216,content|model,E:\football_v\00_System_OS\integration_test\test_model_pipeline.py
C,202,content,E:\football_v\00_System_OS\integration_test\test_product_package.py
C,162,content,E:\football_v\00_System_OS\integration_test\reports\alpha_test_deployment_report.json
D,2,,E:\football_v\00_System_OS\Monitor\error_log.json
C,197,content,E:\football_v\00_System_OS\Monitor\health_status.json
C,113,content,E:\football_v\00_System_OS\Monitor\heartbeat.json
C,2402,content|history,E:\football_v\00_System_OS\Monitor\monitor_service.py
C,1059,content,E:\football_v\00_System_OS\QUALITY_TESTS\test_system_quality_batch_01_V1.0.py
C,653,content,E:\football_v\00_System_OS\QUALITY_TESTS\reports\system_quality_test_report.json
C,2030,content,E:\football_v\00_System_OS\Recovery\recovery_controller.py
C,304,content,E:\football_v\00_System_OS\Recovery\recovery_log.json
C,401,content,E:\football_v\00_System_OS\Recovery\recovery_policy.json
C,1969,content|history,E:\football_v\00_System_OS\Recovery\recovery_service.py
C,1148,content|engine,E:\football_v\00_System_OS\registry\dependency_engine.py
C,450,content,E:\football_v\00_System_OS\registry\dependency_map.json
C,658,content,E:\football_v\00_System_OS\registry\modules.json
D,0,,E:\football_v\00_System_OS\registry\module_registry.json
C,152,content,E:\football_v\00_System_OS\registry\module_template.json
C,2461,content,E:\football_v\00_System_OS\registry\registry.json
C,906,content,E:\football_v\00_System_OS\registry\registry_api.py
C,125,content,E:\football_v\00_System_OS\registry\registry_log.json
C,2351,content,E:\football_v\00_System_OS\registry\registry_manager.py
C,2254,content,E:\football_v\00_System_OS\registry\registry_scanner.py
B,334,content|model|database,E:\football_v\00_System_OS\RELEASE_VALIDATION\dependency_checker\dependency_checker_V1.0.py
C,220,content,E:\football_v\00_System_OS\RELEASE_VALIDATION\integrity_checker\integrity_checker_V1.0.py
C,377,content,E:\football_v\00_System_OS\RELEASE_VALIDATION\module_scanner\module_scanner_V1.0.py
B,1224,content|model|engine|database,E:\football_v\00_System_OS\RELEASE_VALIDATION\release_validation_engine\release_validation_engine_V1.0.py
C,1052,content|engine,E:\football_v\00_System_OS\RELEASE_VALIDATION\release_validation_engine\release_validation_engine_V1.1.py
C,158,content,E:\football_v\00_System_OS\RELEASE_VALIDATION\reports\deployment_report.json
C,1900,content,E:\football_v\00_System_OS\RELEASE_VALIDATION\reports\release_validation_report.json
C,833,content,E:\football_v\00_System_OS\RELEASE_VALIDATION\reports\release_validation_test_report.json
C,107,content,E:\football_v\00_System_OS\RELEASE_VALIDATION\system_manifest\system_manifest_V1.0.json
C,1368,content|engine,E:\football_v\00_System_OS\RELEASE_VALIDATION\tests\test_release_validation_V1.0.py
C,1419,content|engine,E:\football_v\00_System_OS\RELEASE_VALIDATION\tests\test_release_validation_V1.1.py
C,170,content,E:\football_v\00_System_OS\reports\system_quality_batch_01_report.json
D,0,,E:\football_v\00_System_OS\runtime\system_state.json
C,3136,content|database,E:\football_v\00_System_OS\scripts\framework_initializer.py
C,2202,content,E:\football_v\00_System_OS\scripts\project_structure_scanner.py
B,268,content|model|database,E:\football_v\00_System_OS\SYSTEM_HEALTH_MONITOR\system_health_monitor_V1.0.py
C,338,content|database,E:\football_v\00_SYSTEM_TOOLS\check_database_location_V4.0.py
B,803,content|model|database,E:\football_v\00_SYSTEM_TOOLS\database_location_discovery_V4.0.py
B,1885,content|model|database,E:\football_v\00_SYSTEM_TOOLS\data_schema_validation_V4.0.py
B,1798,content|model|engine|train,E:\football_v\00_SYSTEM_TOOLS\deploy_training_engine_V4.0.py
B,893,content|model|feature|train,E:\football_v\00_SYSTEM_TOOLS\deploy_training_system_V4.0.py
A,1843,content|model|predict|feature|runtime|database|train,E:\football_v\00_SYSTEM_TOOLS\final_system_completion_V4.0.py
A,1514,content|model|feature|database|train,E:\football_v\00_SYSTEM_TOOLS\model_data_snapshot_V4.0.py
B,987,content|model|database,E:\football_v\00_SYSTEM_TOOLS\schema_check_V4.0.py
B,1851,content|model|database|train,E:\football_v\00_SYSTEM_TOOLS\training_preflight_check_V4.0.py
C,3832,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Duplicate_Cleanup_V2.0\duplicate_cleanup_engine_V2.0.py
C,1871,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_cleanup_engine_V3.0.py
C,3310,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_cleanup_engine_V4.0.py
C,114906,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry.json
C,187,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\architecture_registry_V1.9.json
A,3373,content|model|predict|feature|engine|runtime|database|train,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_architecture_V1.4.py
C,2865,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_architecture_V1.6.py
C,1702,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\consolidation_engine_V1.6.py
A,2036,content|model|predict|feature|engine|database|train,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\create_architecture_merge_tool_V1.0.py
C,3397,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_archive_engine_V1.7.py
C,147,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\deprecated_registry.json
C,2024,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_architecture_validator_V1.8.py
C,2194,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_cleanup_engine_V2.1.py
C,3821,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\final_delete_engine_V1.9.py
C,3635,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_cleanup_V1.3.py
B,1420,content|model|predict|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_V1.0.py
C,3406,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_architecture_V1.1.py
C,842,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\merge_config_V1.0.json
C,2070,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\migration_executor_V1.2.py
C,3463,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\validate_architecture_V1.1.py
C,3170,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\cleanup_engine\cleanup_planner_V1.2.py
C,3522,content|engine,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\dependency_migration\dependency_migration_engine_V1.5.py
C,160,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_MERGE_CHECKPOINT_V1.1.json
C,163,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_CHECKPOINT_V1.1.json
C,49119,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\ARCHITECTURE_VALIDATION_REPORT_V1.1.json
C,355,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\CONSOLIDATION_REPORT_V1.4.json
C,361,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\FINAL_DELETE_REPORT_V1.9.json
C,173,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MERGE_ANALYSIS_REPORT_V1.0.json
C,387,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MERGE_EXECUTION_REPORT_V1.1.json
C,418,content,E:\football_v\00_SYSTEM_TOOLS\Architecture_Migration_Tool\reports\MIGRATION_EXECUTION_REPORT_V1.2.json
C,375,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_autonomous_engine_hil_v1.4_checkpoint.json
C,458,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_autonomous_engine_hil_v1.6_checkpoint.json
C,553,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_autonomous_engine_hil_v1.8_checkpoint.json
C,334,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\ai_orchestration_layer_v1.3_checkpoint.json
C,321,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\backtest_system_v1.3_checkpoint.json
C,303,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\decision_engine_v1.3_checkpoint.json
C,395,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v1.9_checkpoint.json
C,310,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.0_checkpoint.json
C,374,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.1_checkpoint.json
C,342,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.2_checkpoint.json
C,342,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.3_checkpoint.json
C,764,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v2.6_checkpoint.json
C,145,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\feature_store_v3.0_checkpoint.json
C,407,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\model_layer_v1.3_checkpoint.json
C,300,content,E:\football_v\00_SYSTEM_TOOLS\Checkpoint\prediction_engine_v1.3_checkpoint.json
B,4424,content|predict|history,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_phase3_2_memory_bridge.py
B,2910,content|predict|history|engine,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1.py
C,1468,content|predict,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1_patch.py
B,4101,content|model|predict|engine,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase2.py
B,1485,content|model|odds,E:\football_v\00_SYSTEM_TOOLS\FINAL_DEPLOYMENT_V4.0\deploy_final_V4.0.py
B,2018,content|model|predict,E:\football_v\00_SYSTEM_TOOLS\FIRST_REAL_PREDICTION_TEST_V4.0\first_real_prediction_test_V4.0.py
C,260,content,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\config\deployment_tool_config.json
C,163,content|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\deployment_engine.py
C,296,content,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\encoding_validator.py
C,340,content,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\json_validator.py
C,139,content,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\path_validator.py
C,388,content,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\syntax_validator.py
A,7736,content|model|feature|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py
B,5847,content|model|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.2.py
B,12229,content|model|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.3_V1.4.py
B,12742,content|model|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py
B,14128,content|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py
B,10885,content|model|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.9_V2.0.py
A,11080,content|model|feature|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.1_V2.2_BATCH.py
B,8102,content|predict|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.3_V2.4_BATCH.py
B,8499,content|predict|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.5_V2.6_BATCH.py
B,11190,content|predict|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py
B,12362,content|predict|engine|odds,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py
C,2880,content|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_V1.0_V1.3.py
A,4773,content|model|predict|engine|train,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py
A,5745,content|model|predict|engine|train,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_test_V1.0.py
A,4554,content|model|predict|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_batch_V1.0.py
B,1366,content|model|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_test_V1.0.py
B,3216,content|model|predict|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_V1.0.py
A,11043,content|model|predict|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_V1.0_V1.3.py
B,1458,content|engine|odds,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_api_integration_layer_test_V1.0.py
B,2850,content|model|engine|odds,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_api_integration_layer_V1.0.py
A,1523,content|model|predict|feature|engine|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_autonomous_learning_engine_test_V1.0.py
A,3461,content|model|predict|feature|engine|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_autonomous_learning_engine_V1.0.py
B,1086,content|model|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_test_V1.0.py
B,2421,content|model|predict|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_V1.0.py
A,14599,content|model|predict|feature|engine|bet,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_V1.0_V1.3.py
B,1300,content|model|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_checkpoint_V1.0.py
B,4582,content|model|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_engine_V1.0.py
B,4900,content|model|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_test_V1.0.py
A,13824,content|model|predict|feature|engine|runtime|bet,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_engine_V1.0_V1.3.py
B,1202,content|model|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_intelligence_layer_test_V1.0.py
B,3291,content|model|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_intelligence_layer_V1.0.py
B,1420,content|model|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_checkpoint_V1.0.py
B,2981,content|model|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_engine_V1.0.py
B,4767,content|model|feature|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_test_V1.0.py
B,2995,content|model|feature,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_adapter_V1.0.py
B,3129,content|model|feature,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_core_V1.0.py
C,4050,content|feature,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_test_V1.0.py
B,6594,content|model|feature,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.0.py
B,5329,content|feature|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.1.py
B,5945,content|feature|runtime|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.2.py
B,5752,content|feature|engine|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.3.py
B,7141,content|feature|runtime|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.4.py
B,6093,content|model|feature,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.5.py
B,6310,content|model|feature,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.6.py
B,5641,content|feature|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.7.py
B,5507,content|model|feature|train,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.8.py
B,6326,content|feature|history|engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.9.py
A,6274,content|model|feature|history|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.0.py
A,7248,content|model|feature|history|database,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V2.1.py
