module,path,capability
_macos.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_macos.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
_openssl.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_openssl.py,FEATURE_LAYER|DATA_LAYER
_ssl_constants.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_ssl_constants.py,VALUE_LAYER
_windows.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\_windows.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\truststore\__init__.py,RUNTIME_LAYER
connection.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\connection.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|FEATURE_LAYER
connectionpool.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\connectionpool.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
exceptions.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\exceptions.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
fields.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\fields.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
filepost.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\filepost.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
poolmanager.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py,VALUE_LAYER|FEATURE_LAYER
request.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\request.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
response.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\response.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
_collections.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\_collections.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
_version.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\_version.py,
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\__init__.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
appengine.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\appengine.py,VALUE_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
ntlmpool.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\ntlmpool.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
pyopenssl.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\pyopenssl.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
securetransport.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
socks.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
_appengine_environ.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_appengine_environ.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__init__.py,
bindings.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\bindings.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
low_level.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\low_level.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__init__.py,
six.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\__init__.py,
makefile.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\makefile.py,VALUE_LAYER|DATA_LAYER
weakref_finalize.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\weakref_finalize.py,VALUE_LAYER|DATA_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__init__.py,
connection.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\connection.py,VALUE_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
proxy.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\proxy.py,VALUE_LAYER|DATA_LAYER
queue.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\queue.py,
request.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\request.py,VALUE_LAYER|FEATURE_LAYER
response.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\response.py,VALUE_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
retry.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\retry.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
ssltransport.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER
ssl_.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|DATA_LAYER|FEATURE_LAYER
ssl_match_hostname.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_match_hostname.py,VALUE_LAYER|RUNTIME_LAYER|FEATURE_LAYER
timeout.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py,VALUE_LAYER|BETTING_LAYER|DATA_LAYER
url.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\url.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
wait.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\wait.py,VALUE_LAYER|BETTING_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
__init__.py,E:\football_v\.venv\Lib\site-packages\pip\_vendor\urllib3\util\__init__.py,DATA_LAYER
main.py,E:\football_v\00_System_OS\01_DATA_LAYER\main.py,MARKET_LAYER|RUNTIME_LAYER|DATA_LAYER
compatibility.py,E:\football_v\00_System_OS\01_DATA_LAYER\core\logger\compatibility.py,VALUE_LAYER
formatter.py,E:\football_v\00_System_OS\01_DATA_LAYER\core\logger\formatter.py,VALUE_LAYER|FEATURE_LAYER
handlers.py,E:\football_v\00_System_OS\01_DATA_LAYER\core\logger\handlers.py,FEATURE_LAYER
logger.py,E:\football_v\00_System_OS\01_DATA_LAYER\core\logger\logger.py,VALUE_LAYER|DATA_LAYER
__init__.py,E:\football_v\00_System_OS\01_DATA_LAYER\core\logger\__init__.py,
data_validator.py,E:\football_v\00_System_OS\01_DATA_LAYER\core\validator\data_validator.py,RUNTIME_LAYER|DATA_LAYER
archive_manager.py,E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\archive_manager.py,
duplicate_checker.py,E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\duplicate_checker.py,DATA_LAYER
importer.py,E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\importer.py,RUNTIME_LAYER|DATA_LAYER
scanner.py,E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\scanner.py,DATA_LAYER
validator.py,E:\football_v\00_System_OS\01_DATA_LAYER\import_pipeline\validator.py,
bookmaker_manager.py,E:\football_v\00_System_OS\01_DATA_LAYER\market\bookmaker_manager.py,VALUE_LAYER|BETTING_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER
market_type_manager.py,E:\football_v\00_System_OS\01_DATA_LAYER\market\market_type_manager.py,VALUE_LAYER|MARKET_LAYER|PREDICTION_LAYER|DATA_LAYER
odds_manager.py,E:\football_v\00_System_OS\01_DATA_LAYER\market\odds_manager.py,VALUE_LAYER|MARKET_LAYER|FEATURE_LAYER|DATA_LAYER
quality_checker.py,E:\football_v\00_System_OS\01_DATA_LAYER\quality\quality_checker.py,VALUE_LAYER|DATA_LAYER
quality_engine.py,E:\football_v\00_System_OS\01_DATA_LAYER\quality\quality_engine.py,VALUE_LAYER|PREDICTION_LAYER|FEATURE_LAYER|DATA_LAYER
quality_report.py,E:\football_v\00_System_OS\01_DATA_LAYER\quality\quality_report.py,PREDICTION_LAYER|DATA_LAYER
data_lineage.py,E:\football_v\00_System_OS\01_DATA_LAYER\registry\data_lineage.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
import_tracker.py,E:\football_v\00_System_OS\01_DATA_LAYER\registry\import_tracker.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
quality_score.py,E:\football_v\00_System_OS\01_DATA_LAYER\registry\quality_score.py,VALUE_LAYER|DATA_LAYER
registry_manager.py,E:\football_v\00_System_OS\01_DATA_LAYER\registry\registry_manager.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
database_quality_alert_upgrade.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_quality_alert_upgrade.py,DATA_LAYER
database_quality_init.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_quality_init.py,VALUE_LAYER|PREDICTION_LAYER|DATA_LAYER
database_task_table_upgrade.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\database_task_table_upgrade.py,DATA_LAYER
quality_rule_init.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\quality_rule_init.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|MARKET_LAYER|FEATURE_LAYER
registry_init.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\registry_init.py,FEATURE_LAYER|DATA_LAYER
task_queue_init.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\task_queue_init.py,DATA_LAYER
test_registry_flow.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_registry_flow.py,RUNTIME_LAYER|MARKET_LAYER|PREDICTION_LAYER|DATA_LAYER
test_retry_logger.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_retry_logger.py,
test_scheduler_reliability.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_scheduler_reliability.py,MARKET_LAYER|FEATURE_LAYER|DATA_LAYER
test_task_history.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_history.py,FEATURE_LAYER|DATA_LAYER
test_task_queue.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_queue.py,MARKET_LAYER|DATA_LAYER
test_task_reliability_full.py,E:\football_v\00_System_OS\01_DATA_LAYER\scripts\test_task_reliability_full.py,FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|RUNTIME_LAYER
manual_task.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\manual_task.py,FEATURE_LAYER|DATA_LAYER
retry_engine.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\retry_engine.py,RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
retry_logger.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\retry_logger.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
scheduler.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\scheduler.py,RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
task_history.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_history.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
task_manager.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_manager.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER
task_query.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_query.py,DATA_LAYER
task_status.py,E:\football_v\00_System_OS\01_DATA_LAYER\task_queue\task_status.py,
architecture_classifier_V1.0.py,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_classifier\architecture_classifier_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
architecture_scanner_V1.0.py,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\architecture_scanner\architecture_scanner_V1.0.py,DATA_LAYER
test_architecture_cleanup_V1.0.py,E:\football_v\00_System_OS\ARCHITECTURE_CLEANUP\tests\test_architecture_cleanup_V1.0.py,DATA_LAYER
scheduler_manager.py,E:\football_v\00_System_OS\Automation\scheduler\scheduler_manager.py,FEATURE_LAYER|DATA_LAYER
bootstrap.py,E:\football_v\00_System_OS\Bootstrap\bootstrap.py,FEATURE_LAYER|DATA_LAYER
config_generator.py,E:\football_v\00_System_OS\Bootstrap\config_generator.py,FEATURE_LAYER|DATA_LAYER
deploy_system.py,E:\football_v\00_System_OS\Bootstrap\deploy_system.py,FEATURE_LAYER
setup_system.py,E:\football_v\00_System_OS\Bootstrap\setup_system.py,FEATURE_LAYER|DATA_LAYER
system_check.py,E:\football_v\00_System_OS\Bootstrap\system_check.py,FEATURE_LAYER|DATA_LAYER
deployment_quality_checker_V1.0.py,E:\football_v\00_System_OS\DEPLOYMENT_QUALITY_CHECKER\deployment_quality_checker_V1.0.py,MODEL_LAYER|DATA_LAYER
environment_checker_V1.0.py,E:\football_v\00_System_OS\ENVIRONMENT_CHECKER\environment_checker_V1.0.py,DATA_LAYER
archive_manager.py,E:\football_v\00_System_OS\File_Manager\archive\archive_manager.py,FEATURE_LAYER|DATA_LAYER
archive_manager_v11.py,E:\football_v\00_System_OS\File_Manager\archive\archive_manager_v11.py,FEATURE_LAYER|DATA_LAYER
duplicate_detector_v11.py,E:\football_v\00_System_OS\File_Manager\duplicate\duplicate_detector_v11.py,FEATURE_LAYER|DATA_LAYER
duplicate_detector.py,E:\football_v\00_System_OS\File_Manager\hash\duplicate_detector.py,DATA_LAYER
lifecycle_engine.py,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_engine.py,RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
lifecycle_manager.py,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_manager.py,FEATURE_LAYER|DATA_LAYER
file_registry_v11.py,E:\football_v\00_System_OS\File_Manager\registry\file_registry_v11.py,FEATURE_LAYER|DATA_LAYER
file_scanner.py,E:\football_v\00_System_OS\File_Manager\scanner\file_scanner.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
version_manager.py,E:\football_v\00_System_OS\File_Manager\version\version_manager.py,FEATURE_LAYER|DATA_LAYER
final_release_gate_V1.0.py,E:\football_v\00_System_OS\FINAL_RELEASE_GATE\final_release_gate_V1.0.py,DATA_LAYER
test_api_pipeline.py,E:\football_v\00_System_OS\integration_test\test_api_pipeline.py,MODEL_LAYER|PREDICTION_LAYER|DATA_LAYER
test_dashboard.py,E:\football_v\00_System_OS\integration_test\test_dashboard.py,MODEL_LAYER|MARKET_LAYER|PREDICTION_LAYER|DATA_LAYER
test_database_connection.py,E:\football_v\00_System_OS\integration_test\test_database_connection.py,MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER
test_model_pipeline.py,E:\football_v\00_System_OS\integration_test\test_model_pipeline.py,MODEL_LAYER|MARKET_LAYER|DATA_LAYER
test_product_package.py,E:\football_v\00_System_OS\integration_test\test_product_package.py,DATA_LAYER
monitor_service.py,E:\football_v\00_System_OS\Monitor\monitor_service.py,FEATURE_LAYER|DATA_LAYER
recovery_controller.py,E:\football_v\00_System_OS\Recovery\recovery_controller.py,FEATURE_LAYER|DATA_LAYER
recovery_service.py,E:\football_v\00_System_OS\Recovery\recovery_service.py,FEATURE_LAYER|DATA_LAYER
dependency_engine.py,E:\football_v\00_System_OS\registry\dependency_engine.py,RUNTIME_LAYER|DATA_LAYER
registry_api.py,E:\football_v\00_System_OS\registry\registry_api.py,DATA_LAYER
registry_manager.py,E:\football_v\00_System_OS\registry\registry_manager.py,FEATURE_LAYER|DATA_LAYER
registry_scanner.py,E:\football_v\00_System_OS\registry\registry_scanner.py,FEATURE_LAYER|DATA_LAYER
dependency_checker_V1.0.py,E:\football_v\00_System_OS\RELEASE_VALIDATION\dependency_checker\dependency_checker_V1.0.py,MODEL_LAYER|DATA_LAYER
integrity_checker_V1.0.py,E:\football_v\00_System_OS\RELEASE_VALIDATION\integrity_checker\integrity_checker_V1.0.py,DATA_LAYER
module_scanner_V1.0.py,E:\football_v\00_System_OS\RELEASE_VALIDATION\module_scanner\module_scanner_V1.0.py,
framework_initializer.py,E:\football_v\00_System_OS\scripts\framework_initializer.py,RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
system_health_monitor_V1.0.py,E:\football_v\00_System_OS\SYSTEM_HEALTH_MONITOR\system_health_monitor_V1.0.py,MODEL_LAYER|DATA_LAYER
deploy_phase3_2_memory_bridge.py,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_phase3_2_memory_bridge.py,VALUE_LAYER|PREDICTION_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_v15_phase1.py,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1.py,PREDICTION_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_v15_phase1_patch.py,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase1_patch.py,RUNTIME_LAYER|PREDICTION_LAYER
deploy_v15_phase2.py,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_v15_phase2.py,MODEL_LAYER|RUNTIME_LAYER|PREDICTION_LAYER|DATA_LAYER
deployment_engine.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\deployment_engine.py,RUNTIME_LAYER|DATA_LAYER
encoding_validator.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\encoding_validator.py,
json_validator.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\json_validator.py,DATA_LAYER
path_validator.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\path_validator.py,
syntax_validator.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\syntax_validator.py,DATA_LAYER
deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.0_V1.4.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
deploy_ai_autonomous_engine_HIL_V1.2.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.2.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER
deploy_ai_autonomous_engine_HIL_V1.3_V1.4.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.3_V1.4.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py,VALUE_LAYER|MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|RUNTIME_LAYER
deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_ai_autonomous_engine_HIL_V1.9_V2.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.9_V2.0.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_ai_autonomous_engine_HIL_V2.1_V2.2_BATCH.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.1_V2.2_BATCH.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_ai_autonomous_engine_HIL_V2.3_V2.4_BATCH.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.3_V2.4_BATCH.py,VALUE_LAYER|RUNTIME_LAYER|PREDICTION_LAYER|DATA_LAYER
deploy_ai_autonomous_engine_HIL_V2.5_V2.6_BATCH.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.5_V2.6_BATCH.py,VALUE_LAYER|RUNTIME_LAYER|PREDICTION_LAYER|DATA_LAYER
deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py,VALUE_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py,VALUE_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|FEATURE_LAYER
deploy_ai_autonomous_engine_V1.0_V1.3.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_V1.0_V1.3.py,RUNTIME_LAYER|DATA_LAYER
deploy_ai_intelligence_layer_core_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_core_V1.0.py,VALUE_LAYER|MODEL_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_ai_intelligence_layer_test_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_intelligence_layer_test_V1.0.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_ai_orchestration_layer_batch_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_batch_V1.0.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|PREDICTION_LAYER|RUNTIME_LAYER
deploy_ai_orchestration_layer_V1.0_V1.3.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_orchestration_layer_V1.0_V1.3.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_backtest_system_V1.0_V1.3.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_backtest_system_V1.0_V1.3.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_data_intelligence_checkpoint_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_checkpoint_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_data_intelligence_engine_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_engine_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_data_intelligence_test_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_data_intelligence_test_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_decision_engine_V1.0_V1.3.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_decision_engine_V1.0_V1.3.py,VALUE_LAYER|MODEL_LAYER|BETTING_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|MARKET_LAYER|FEATURE_LAYER
deploy_dynamic_feature_weight_checkpoint_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_checkpoint_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_dynamic_feature_weight_engine_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_engine_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_dynamic_feature_weight_test_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_dynamic_feature_weight_test_V1.0.py,MODEL_LAYER|RUNTIME_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_feature_store_adapter_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_adapter_V1.0.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER
deploy_feature_store_core_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_core_V1.0.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|MARKET_LAYER|RUNTIME_LAYER
deploy_feature_store_V1.0.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.0.py,MODEL_LAYER|FEATURE_LAYER|DATA_LAYER|MARKET_LAYER|RUNTIME_LAYER
deploy_feature_store_V1.1.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.1.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_feature_store_V1.2.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.2.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_feature_store_V1.3.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.3.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_feature_store_V1.4.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.4.py,VALUE_LAYER|MODEL_LAYER|RUNTIME_LAYER|DATA_LAYER|PREDICTION_LAYER|FEATURE_LAYER
deploy_feature_store_V1.5.py,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_feature_store_V1.5.py,MODEL_LAYER|FEATURE_LAYER|PREDICTION_LAYER|DATA_LAYER
