Old_Path,New_Path,Status,Reason,Time
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\backup_engine,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\ARCHIVE_backup_engine,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\database_backup_scheduler,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\ARCHIVE_database_backup_scheduler,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\16_DATABASE_GOVERNANCE_LAYER\batch_modules\create_backup_engine.py,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\batch_modules\ARCHIVE_create_backup_engine.py,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\17_MODEL_STORE_LAYER\model_cache_manager,E:\football_v\17_MODEL_STORE_LAYER\TEMP_model_cache_manager,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\AI_RUNTIME\__pycache__,E:\football_v\AI_RUNTIME\TEMP___pycache__,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\archive\framework_scan_history,E:\football_v\archive\ARCHIVE_framework_scan_history,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\deployment_scripts\application_layer_db_test_tmp.py,E:\football_v\deployment_scripts\TEMP_application_layer_db_test_tmp.py,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\deployment_scripts\db_check_tmp.py,E:\football_v\deployment_scripts\TEMP_db_check_tmp.py,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\deployment_scripts\decision_layer_db_test_tmp.py,E:\football_v\deployment_scripts\TEMP_decision_layer_db_test_tmp.py,RENAMED,Temporary asset,2026-07-25 14:11:05.398913
E:\football_v\deployment_scripts\deploy_feature_engine_history_V1.0.1.py,E:\football_v\deployment_scripts\ARCHIVE_deploy_feature_engine_history_V1.0.1.py,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\deployment_scripts\deploy_feature_engine_history_V1.0.py,E:\football_v\deployment_scripts\ARCHIVE_deploy_feature_engine_history_V1.0.py,RENAMED,Historical asset,2026-07-25 14:11:05.398913
E:\football_v\FINAL_RELEASE_REPORT\legacy_delete_check.json,E:\football_v\FINAL_RELEASE_REPORT\ARCHIVE_legacy_delete_check.json,RENAMED,Historical asset,2026-07-25 14:11:05.398913
