called_function,file,error
reporthook,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
build_opener,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
Request,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
ServerProxy,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
rpc_proxy,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\index.py,
ServerProxy,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
client,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urljoin,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
build_opener,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
RedirectHandler,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
is_compatible,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Wheel,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
split_filename,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Wheel,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
is_compatible,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
same_project,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlunparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
same_project,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlunparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
list,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
make_dist,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
parse_requirement,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
get_scheme,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
type,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
vcls,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
ServerProxy,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Metadata,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Distribution,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
ensure_slash,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urljoin,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Metadata,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Distribution,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
quote,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Metadata,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Distribution,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
text_type,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlunparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urljoin,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
unescape,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
quote,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
ord,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
ensure_slash,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
range,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urljoin,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
quote,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
text_type,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urljoin,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
url2pathname,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
ensure_slash,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Request,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
Page,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
decoder,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlunparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
pathname2url,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlunparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
pathname2url,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
get_project_data,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
make_dist,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
get_scheme,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
parse_name_and_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
parse_name_and_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
frozenset,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
normalize_name,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
urlunparse,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
quote,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
pop,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
S_ISREG,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
fsdecode,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
S_ISDIR,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
push,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
S_ISLNK,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
add_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
add_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
convert_path,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
convert_path,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
convert_path,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
convert_path,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
list,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
add_dir,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
LV,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
format_full_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
in_venv,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
dict,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
parse_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
SyntaxError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
SyntaxError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
NotImplementedError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
_is_literal,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
_is_literal,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
SyntaxError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
LV,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
LV,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
SyntaxError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
_is_version_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
_is_version_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
_is_version_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
LV,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
_get_versions,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,
MetadataUnrecognizedVersionError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
tuple,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
ValueError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
any,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_has_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_has_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_has_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_has_marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
MetadataConflictError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
MetadataConflictError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
any,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
TypeError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_best_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
KeyError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
AttributeError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_get_name_and_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
message_from_file,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
tuple,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_version2fieldlist,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
get_scheme,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
get_scheme,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
MetadataMissingError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
controller,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_version2fieldlist,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
list,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_version2fieldlist,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
TypeError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
LegacyMetadata,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
LegacyMetadata,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
StringIO,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
maker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
object,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
maker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
MetadataInvalidError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
_get_name_and_version,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
get_extras,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
interpret,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
extract_by_key,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
MetadataUnrecognizedVersionError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
MetadataMissingError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
extract_by_key,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
LegacyMetadata,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
process_entries,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
process_entries,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
ValueError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,
type,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
finder_maker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
__import__,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
type,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
DistlibException,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
type,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
finder,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
get_cache_base,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
str,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
ResourceCache,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
isinstance,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
ResourceContainer,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
Resource,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
allowed,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
hasattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
sorted,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
super,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
FileOperator,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
getattr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
len,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
enquote_executable,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
get_executable,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
in_venv,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
ValueError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
ValueError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
dict,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
BytesIO,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
ZipFile,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
ZipInfo,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
int,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
set,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
convert_path,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
detect_encoding,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
get_export_entry,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
open,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
ValueError,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
get_platform,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,
marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,
marker_expr,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,
marker_and,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,
marker,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,
marker_var,E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\util.py,
